Time,Sensor 1,Sensor 2,Type,Concentration
1,0.524100555,0.305320837,2,0.4
2,0.523611142,0.305109884,2,0.4
3,0.522652051,0.30498797,2,0.4
4,0.523032408,0.305346435,2,0.4
5,0.523143782,0.305292077,2,0.4
6,0.52313845,0.30527068,2,0.4
7,0.523223634,0.305147425,2,0.4
8,0.523256932,0.305105798,2,0.4
9,0.522555341,0.304613748,2,0.4
10,0.522216736,0.304483351,2,0.4
11,0.521763329,0.304794117,2,0.4
12,0.522523857,0.304903266,2,0.4
13,0.522601996,0.304890216,2,0.4
14,0.522781522,0.304856838,2,0.4
15,0.522848242,0.304816619,2,0.4
16,0.523022484,0.304733734,2,0.4
17,0.521875993,0.304315718,2,0.4
18,0.521527188,0.304610371,2,0.4
19,0.522063462,0.304704022,2,0.4
20,0.522197338,0.304830716,2,0.4
21,0.522339903,0.304874795,2,0.4
22,0.522431701,0.304915402,2,0.4
23,0.522468305,0.30461837,2,0.4
24,0.521744643,0.304530285,2,0.4
25,0.52121631,0.304489452,2,0.4
26,0.521832778,0.305020917,2,0.4
27,0.522116371,0.305161143,2,0.4
28,0.522420627,0.305315183,2,0.4
29,0.522572013,0.305334724,2,0.4
30,0.522738531,0.305410868,2,0.4
31,0.522104601,0.305067613,2,0.4
32,0.521945052,0.305121693,2,0.4
33,0.521952895,0.305556744,2,0.4
34,0.522884757,0.305753288,2,0.4
35,0.52327649,0.30604792,2,0.4
36,0.523618956,0.306183777,2,0.4
37,0.523937604,0.30648129,2,0.4
38,0.524511358,0.306384533,2,0.4
39,0.523792938,0.306577266,2,0.4
40,0.523749104,0.306831293,2,0.4
41,0.524700083,0.307326031,2,0.4
42,0.525354491,0.307626975,2,0.4
43,0.525877719,0.307805702,2,0.4
44,0.526287099,0.30808379,2,0.4
45,0.526859975,0.307955095,2,0.4
46,0.526904045,0.308165638,2,0.4
47,0.526683497,0.30835082,2,0.4
48,0.527476073,0.308932178,2,0.4
49,0.528294967,0.309304755,2,0.4
50,0.529004085,0.309684661,2,0.4
51,0.529645883,0.309962829,2,0.4
52,0.530329651,0.310357821,2,0.4
53,0.530240483,0.310372503,2,0.4
54,0.530545587,0.310569117,2,0.4
55,0.530850992,0.311184927,2,0.4
56,0.532124033,0.311576445,2,0.4
57,0.532952843,0.311857075,2,0.4
58,0.533788807,0.312206497,2,0.4
59,0.534561041,0.312674202,2,0.4
60,0.535376639,0.312769444,2,0.4
61,0.535128275,0.313082011,2,0.4
62,0.535447147,0.313492197,2,0.4
63,0.536750347,0.31423734,2,0.4
64,0.53774829,0.314732779,2,0.4
65,0.538639458,0.315164152,2,0.4
66,0.539477847,0.315557071,2,0.4
67,0.540359412,0.315990265,2,0.4
68,0.54066756,0.315823396,2,0.4
69,0.540837612,0.316271098,2,0.4
70,0.541762036,0.317050548,2,0.4
71,0.543100093,0.317536453,2,0.4
72,0.544183975,0.318047822,2,0.4
73,0.545110172,0.318581597,2,0.4
74,0.546169661,0.319040682,2,0.4
75,0.546417979,0.31913478,2,0.4
76,0.546925226,0.319412616,2,0.4
77,0.547648471,0.320215899,2,0.4
78,0.549325668,0.320656204,2,0.4
79,0.55043422,0.321114665,2,0.4
80,0.551611508,0.321481693,2,0.4
81,0.552667714,0.321845866,2,0.4
82,0.553639739,0.321844682,2,0.4
83,0.553733334,0.322067839,2,0.4
84,0.554269444,0.322319903,2,0.4
85,0.55578438,0.322903875,2,0.4
86,0.55691255,0.323253396,2,0.4
87,0.557790297,0.323489214,2,0.4
88,0.558709621,0.323768514,2,0.4
89,0.559622485,0.323876267,2,0.4
90,0.560611448,0.323828708,2,0.4
91,0.560387967,0.324002743,2,0.4
92,0.561668321,0.324427468,2,0.4
93,0.562678315,0.324544842,2,0.4
94,0.563160983,0.324798602,2,0.4
95,0.563932076,0.324881799,2,0.4
96,0.564509761,0.324926074,2,0.4
97,0.56397378,0.324627187,2,0.4
98,0.564173768,0.324525903,2,0.4
99,0.564096224,0.325001328,2,0.4
100,0.565286295,0.325048611,2,0.4
101,0.56574005,0.325162357,2,0.4
102,0.566203557,0.325271927,2,0.4
103,0.56660264,0.325209236,2,0.4
104,0.566999071,0.325154354,2,0.4
105,0.565952389,0.324860717,2,0.4
106,0.56581759,0.325026539,2,0.4
107,0.566577911,0.325184649,2,0.4
108,0.56688606,0.325173112,2,0.4
109,0.567146507,0.325114222,2,0.4
110,0.567304388,0.325073276,2,0.4
111,0.567343539,0.324685659,2,0.4
112,0.567060787,0.324622203,2,0.4
113,0.566167829,0.324543805,2,0.4
114,0.566586442,0.324767449,2,0.4
115,0.566831182,0.324819057,2,0.4
116,0.566834202,0.324803273,2,0.4
117,0.566704198,0.324657424,2,0.4
118,0.566749667,0.324666773,2,0.4
119,0.565910943,0.324085966,2,0.4
120,0.56540774,0.323858805,2,0.4
121,0.564901479,0.324068754,2,0.4
122,0.56546788,0.324088366,2,0.4
123,0.565408662,0.324029924,2,0.4
124,0.565304988,0.323889225,2,0.4
125,0.565092469,0.32379241,2,0.4
126,0.565225552,0.323399178,2,0.4
127,0.563723734,0.323186804,2,0.4
128,0.563108855,0.323183754,2,0.4
129,0.563449865,0.323306565,2,0.4
130,0.563365491,0.323248498,2,0.4
131,0.563276807,0.323126467,2,0.4
132,0.563043635,0.323122346,2,0.4
133,0.562826403,0.322660689,2,0.4
134,0.561747113,0.322450921,2,0.4
135,0.56098765,0.322148989,2,0.4
136,0.561168422,0.322397741,2,0.4
137,0.561010488,0.322250684,2,0.4
138,0.560874855,0.322146623,2,0.4
139,0.560674168,0.322006863,2,0.4
140,0.560405493,0.321882353,2,0.4
141,0.559411418,0.321365677,2,0.4
142,0.558754618,0.321052972,2,0.4
143,0.558090341,0.321277553,2,0.4
144,0.558419572,0.321240797,2,0.4
145,0.558283502,0.321216192,2,0.4
146,0.558077726,0.32115836,2,0.4
147,0.557766423,0.321022269,2,0.4
148,0.557654079,0.320422745,2,0.4
149,0.55626751,0.320257646,2,0.4
150,0.555494866,0.320097001,2,0.4
151,0.555796577,0.320278271,2,0.4
152,0.55566197,0.320260984,2,0.4
153,0.555552372,0.320151901,2,0.4
154,0.555339864,0.320023541,2,0.4
155,0.555059689,0.319438598,2,0.4
156,0.554010872,0.319213129,2,0.4
157,0.55313443,0.318989945,2,0.4
158,0.553180417,0.319213779,2,0.4
159,0.55303852,0.31921734,2,0.4
160,0.552916369,0.319112147,2,0.4
161,0.552640026,0.318985296,2,0.4
162,0.552451587,0.318835792,2,0.4
163,0.551433858,0.318371721,2,0.4
164,0.550744127,0.318112679,2,0.4
165,0.549995074,0.318316736,2,0.4
166,0.55057167,0.318162745,2,0.4
167,0.550394686,0.318083135,2,0.4
168,0.55026278,0.317935703,2,0.4
169,0.550029208,0.31778895,2,0.4
170,0.549908256,0.317671629,2,0.4
171,0.548595868,0.316977865,2,0.4
172,0.547975923,0.317177613,2,0.4
173,0.548244366,0.317052257,2,0.4
174,0.548162134,0.316952666,2,0.4
175,0.547970807,0.316764728,2,0.4
176,0.547802331,0.316608984,2,0.4
177,0.547530503,0.3160972,2,0.4
178,0.546431562,0.315871899,2,0.4
179,0.545716365,0.315640898,2,0.4
180,0.545780263,0.315742438,2,0.4
181,0.545607089,0.315740242,2,0.4
182,0.545702555,0.315778704,2,0.4
183,0.545780138,0.315918883,2,0.4
184,0.546221737,0.316079555,2,0.4
185,0.545531181,0.315464318,2,0.4
186,0.545236247,0.315221034,2,0.4
187,0.545109285,0.315369077,2,0.4
188,0.545589552,0.315188036,2,0.4
189,0.545564249,0.31515354,2,0.4
190,0.54544681,0.314902709,2,0.4
191,0.545398046,0.314828452,2,0.4
192,0.544521441,0.314405928,2,0.4
193,0.54404717,0.314137018,2,0.4
194,0.543487406,0.314315978,2,0.4
195,0.543871352,0.31418102,2,0.4
196,0.543824793,0.314128085,2,0.4
197,0.543756967,0.313998839,2,0.4
198,0.543499442,0.313845854,2,0.4
199,0.543351734,0.313332773,2,0.4
200,0.54231909,0.313102689,2,0.4
201,0.541679747,0.312856169,2,0.4
202,0.542004549,0.313125864,2,0.4
203,0.542042934,0.312987829,2,0.4
204,0.541940189,0.312841162,2,0.4
205,0.541669534,0.312687967,2,0.4
206,0.541574574,0.312650285,2,0.4
207,0.540793594,0.312048471,2,0.4
208,0.54014982,0.311848971,2,0.4
209,0.539979694,0.312081833,2,0.4
210,0.540329592,0.312042674,2,0.4
211,0.540306607,0.311887423,2,0.4
212,0.54021641,0.311743993,2,0.4
213,0.540125007,0.311496166,2,0.4
214,0.539186016,0.311006214,2,0.4
215,0.538718319,0.310767755,2,0.4
216,0.538234802,0.310964368,2,0.4
217,0.538762484,0.310886173,2,0.4
218,0.538697248,0.310761439,2,0.4
219,0.538543307,0.310605514,2,0.4
220,0.538538363,0.310532837,2,0.4
221,0.538415201,0.310048858,2,0.4
222,0.537391657,0.309919565,2,0.4
223,0.536852749,0.309691595,2,0.4
224,0.537184667,0.309960934,2,0.4
225,0.537264113,0.309880437,2,0.4
226,0.537234738,0.309800426,2,0.4
227,0.537196168,0.30966025,2,0.4
228,0.537085786,0.309423646,2,0.4
229,0.536943026,0.308966366,2,0.4
230,0.535672175,0.30883567,2,0.4
231,0.535820731,0.308987766,2,0.4
232,0.535876835,0.308977029,2,0.4
233,0.53589134,0.308875666,2,0.4
234,0.535821458,0.308796728,2,0.4
235,0.535681632,0.308695453,2,0.4
236,0.535036921,0.308235582,2,0.4
237,0.534566985,0.307933823,2,0.4
238,0.534132662,0.308090286,2,0.4
239,0.534561885,0.307985984,2,0.4
240,0.534623417,0.30799329,2,0.4
241,0.534700362,0.307953795,2,0.4
242,0.534618716,0.307795295,2,0.4
243,0.534609198,0.307370305,2,0.4
244,0.53362399,0.307134104,2,0.4
245,0.533059736,0.306990025,2,0.4
246,0.533576049,0.307303366,2,0.4
247,0.533663435,0.307187021,2,0.4
248,0.533727875,0.307060958,2,0.4
249,0.533643239,0.306962435,2,0.4
250,0.533539351,0.306450442,2,0.4
251,0.532693067,0.30633693,2,0.4
252,0.532148998,0.306153433,2,0.4
253,0.532526077,0.306411162,2,0.4
254,0.532652107,0.306377878,2,0.4
255,0.532726904,0.306392523,2,0.4
256,0.532675463,0.306243926,2,0.4
257,0.532636824,0.306095819,2,0.4
258,0.531877788,0.305615819,2,0.4
259,0.531515303,0.305415999,2,0.4
260,0.531012452,0.305600289,2,0.4
261,0.531692811,0.305579906,2,0.4
262,0.531645203,0.305488376,2,0.4
263,0.531655935,0.305409737,2,0.4
264,0.531697696,0.305275998,2,0.4
265,0.531847375,0.30505855,2,0.4
266,0.530637791,0.304592551,2,0.4
267,0.530067506,0.304560943,2,0.4
268,0.53047922,0.304611164,2,0.4
269,0.530580046,0.304599526,2,0.4
270,0.530720992,0.304531777,2,0.4
271,0.5307362,0.304546415,2,0.4
272,0.530746097,0.304102921,2,0.4
273,0.529980055,0.303995476,2,0.4
274,0.529452435,0.30380243,2,0.4
275,0.529741199,0.304022744,2,0.4
276,0.529868791,0.303946127,2,0.4
277,0.529811767,0.303899339,2,0.4
278,0.529959031,0.303786942,2,0.4
279,0.529828185,0.303681019,2,0.4
280,0.529052858,0.303204455,2,0.4
281,0.52876901,0.302992395,2,0.4
282,0.528372649,0.303171485,2,0.4
283,0.528913021,0.303147829,2,0.4
284,0.529046765,0.303070453,2,0.4
285,0.529074623,0.303056052,2,0.4
286,0.529112329,0.302988909,2,0.4
287,0.529095618,0.302543794,2,0.4
