Time,Sensor 1,Sensor 2,Type,Concentration
1,0.495752269,0.366395977,5,2
2,0.495362759,0.366801968,5,2
3,0.496060907,0.366884165,5,2
4,0.496308737,0.366896311,5,2
5,0.496486598,0.366937014,5,2
6,0.496682836,0.366979628,5,2
7,0.496815312,0.366672173,5,2
8,0.496213928,0.366657715,5,2
9,0.495921693,0.366655213,5,2
10,0.496584474,0.367217898,5,2
11,0.496900825,0.367387553,5,2
12,0.497229279,0.367706589,5,2
13,0.497564911,0.367893097,5,2
14,0.497808325,0.368167859,5,2
15,0.497974294,0.367703563,5,2
16,0.497449885,0.367841554,5,2
17,0.497885837,0.36842482,5,2
18,0.498621983,0.36868272,5,2
19,0.499189174,0.369008562,5,2
20,0.499671143,0.369221357,5,2
21,0.500162565,0.369540589,5,2
22,0.500077184,0.369289082,5,2
23,0.500218375,0.369474578,5,2
24,0.500456393,0.370114936,5,2
25,0.501633001,0.370544432,5,2
26,0.502341287,0.370938541,5,2
27,0.503140449,0.371448457,5,2
28,0.503801565,0.371737048,5,2
29,0.504440092,0.371577486,5,2
30,0.504198935,0.371931937,5,2
31,0.504574424,0.37229138,5,2
32,0.505878403,0.373188292,5,2
33,0.506791007,0.373635446,5,2
34,0.50767504,0.374259296,5,2
35,0.508501391,0.37464163,5,2
36,0.509343271,0.374698676,5,2
37,0.509863079,0.375094692,5,2
38,0.509934497,0.375431442,5,2
39,0.511161652,0.376243364,5,2
40,0.512197687,0.376765017,5,2
41,0.513254166,0.377364162,5,2
42,0.514274963,0.377826036,5,2
43,0.515262685,0.378391075,5,2
44,0.515557301,0.378554519,5,2
45,0.515861917,0.378988568,5,2
46,0.516901209,0.379900923,5,2
47,0.518601451,0.380551924,5,2
48,0.519702289,0.381094736,5,2
49,0.52087132,0.381621303,5,2
50,0.521948121,0.382214265,5,2
51,0.523368227,0.382393817,5,2
52,0.523180961,0.382745448,5,2
53,0.523828996,0.383563012,5,2
54,0.525453486,0.384401279,5,2
55,0.526735263,0.385021253,5,2
56,0.527905166,0.385726257,5,2
57,0.529181181,0.38653366,5,2
58,0.530356686,0.387230818,5,2
59,0.531460272,0.38730736,5,2
60,0.531585901,0.387914223,5,2
61,0.533169657,0.388918039,5,2
62,0.534502621,0.389608732,5,2
63,0.53584501,0.390310773,5,2
64,0.537124651,0.390899071,5,2
65,0.538959105,0.391930843,5,2
