Time,Sensor 1,Sensor 2,Type,Concentration
139,0.463106563,0.389581649,4,0.2
140,0.462955566,0.389038492,4,0.2
141,0.462116599,0.388708893,4,0.2
142,0.461437549,0.388450391,4,0.2
143,0.461567477,0.388648905,4,0.2
144,0.46138553,0.388423486,4,0.2
145,0.461203366,0.388257181,4,0.2
146,0.460940854,0.388016383,4,0.2
147,0.460624761,0.387891542,4,0.2
148,0.459578155,0.387062774,4,0.2
149,0.458902376,0.386696442,4,0.2
150,0.458132413,0.386883652,4,0.2
151,0.458339343,0.386725376,4,0.2
152,0.458069,0.386535209,4,0.2
153,0.457749576,0.386258091,4,0.2
154,0.457293985,0.385994562,4,0.2
155,0.456631629,0.385824979,4,0.2
156,0.455524554,0.384962256,4,0.2
157,0.454662602,0.385102665,4,0.2
158,0.454669218,0.384947051,4,0.2
159,0.45436373,0.384727247,4,0.2
160,0.454007435,0.384467916,4,0.2
161,0.453590838,0.384305416,4,0.2
162,0.453022881,0.383622358,4,0.2
163,0.451731216,0.383111635,4,0.2
164,0.450927895,0.382808506,4,0.2
165,0.450458563,0.383000619,4,0.2
166,0.450288721,0.38268174,4,0.2
167,0.449799904,0.382450288,4,0.2
168,0.449439402,0.382182819,4,0.2
169,0.448881493,0.382006731,4,0.2
170,0.447542962,0.381185726,4,0.2
171,0.446766918,0.380783497,4,0.2
172,0.446036191,0.380920867,4,0.2
173,0.446160185,0.380745377,4,0.2
174,0.44565556,0.380534769,4,0.2
175,0.445279433,0.380219088,4,0.2
176,0.444681888,0.379968911,4,0.2
177,0.444250579,0.379843024,4,0.2
178,0.442915207,0.378902938,4,0.2
179,0.441960198,0.378983678,4,0.2
180,0.441846053,0.378751079,4,0.2
181,0.441577873,0.378557435,4,0.2
182,0.441189929,0.378194995,4,0.2
183,0.440711337,0.378059167,4,0.2
184,0.440267372,0.37730981,4,0.2
185,0.439114633,0.376886102,4,0.2
186,0.438026419,0.376589383,4,0.2
187,0.437805917,0.376737173,4,0.2
188,0.4375948,0.376569658,4,0.2
189,0.437195172,0.376304033,4,0.2
190,0.436747585,0.376002061,4,0.2
191,0.436158624,0.375719106,4,0.2
192,0.434942605,0.3749743,4,0.2
193,0.434072699,0.374549887,4,0.2
194,0.433313498,0.374672674,4,0.2
195,0.433420251,0.374424816,4,0.2
196,0.432954042,0.374133304,4,0.2
197,0.432422619,0.373806279,4,0.2
198,0.431776558,0.373471502,4,0.2
199,0.431043496,0.373206403,4,0.2
200,0.42989319,0.372352156,4,0.2
201,0.429059677,0.372457134,4,0.2
202,0.429003683,0.37225451,4,0.2
203,0.428652366,0.371975132,4,0.2
204,0.428115809,0.371652217,4,0.2
205,0.427772323,0.371420843,4,0.2
206,0.427316062,0.370721043,4,0.2
207,0.426094508,0.370359354,4,0.2
208,0.425232186,0.370043275,4,0.2
209,0.425081868,0.370231752,4,0.2
210,0.424764187,0.370022859,4,0.2
211,0.423925491,0.369541155,4,0.2
212,0.423750457,0.369422004,4,0.2
213,0.423336098,0.369388839,4,0.2
214,0.422443357,0.368509773,4,0.2
215,0.421578285,0.368179926,4,0.2
216,0.421215093,0.36825633,4,0.2
217,0.421136346,0.368039459,4,0.2
218,0.420771588,0.367810358,4,0.2
219,0.420335929,0.367414748,4,0.2
220,0.419791215,0.367118564,4,0.2
221,0.418756766,0.366448125,4,0.2
222,0.418018096,0.366057246,4,0.2
223,0.417235738,0.366207366,4,0.2
224,0.417391856,0.365987683,4,0.2
225,0.417082367,0.365736377,4,0.2
226,0.416714025,0.365450173,4,0.2
227,0.416260188,0.365115084,4,0.2
228,0.415886687,0.364352304,4,0.2
229,0.414615507,0.364038097,4,0.2
230,0.413719629,0.36375152,4,0.2
231,0.413587254,0.363836861,4,0.2
232,0.413362611,0.363636981,4,0.2
233,0.412995348,0.363342966,4,0.2
234,0.412553249,0.363042681,4,0.2
235,0.412116761,0.362894965,4,0.2
236,0.411173929,0.362183423,4,0.2
237,0.410501593,0.361823618,4,0.2
238,0.409877697,0.362011244,4,0.2
239,0.410050637,0.361799473,4,0.2
240,0.409747255,0.361575582,4,0.2
241,0.409459887,0.361325564,4,0.2
242,0.409113704,0.361039116,4,0.2
243,0.408436675,0.360777695,4,0.2
244,0.407388585,0.359929208,4,0.2
245,0.406672251,0.360062821,4,0.2
246,0.406777997,0.359877653,4,0.2
247,0.406461027,0.359638862,4,0.2
248,0.406261046,0.359346343,4,0.2
249,0.405857924,0.359109512,4,0.2
250,0.405617119,0.358404624,4,0.2
251,0.404579919,0.358209132,4,0.2
252,0.403897972,0.357925548,4,0.2
253,0.403923971,0.358035619,4,0.2
254,0.403676723,0.357776357,4,0.2
255,0.403418763,0.357575193,4,0.2
256,0.40305138,0.357298025,4,0.2
257,0.402730332,0.357142529,4,0.2
258,0.402412347,0.356377392,4,0.2
259,0.401157033,0.356055619,4,0.2
260,0.40092361,0.35618021,4,0.2
261,0.400852984,0.35598726,4,0.2
262,0.400586952,0.355734285,4,0.2
263,0.400210095,0.35546234,4,0.2
